clause_text,clause_type,domain,risk_level,source,is_synthetic
"Employee shall not work in any competing business for 3 years
after leaving the company.",Non-Compete,Employment,HIGH,d-riti/Risky Patterns clause.pdf,False
"During the term of employment, the Employee shall not directly engage in any business competitive with the Employer.",Non-Compete,Employment,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Employee shall not compete anywhere in India for 2 years.,Non-Compete,Employment,HIGH,d-riti/Risky Patterns clause.pdf,False
"For a period of 6 months following termination, Employee shall not compete with the Company within the city of Mumbai.",Non-Compete,Employment,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Employee agrees not to join any competitor after termination.,Non-Compete,Employment,HIGH,d-riti/Risky Patterns clause.pdf,False
"During the term of employment, the Employee shall not work for any direct competitor of the Employer.",Non-Compete,Employment,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"For 5 years after leaving, employee shall not contact any client
of the company.",Non-Compete,Employment,HIGH,d-riti/Risky Patterns clause.pdf,False
Employee shall not work in any technology company for 2 years.,Non-Compete,Employment,HIGH,d-riti/Risky Patterns clause.pdf,False
"During employment, employee cannot do any freelance work
of any kind.",Non-Compete,Employment,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"For 2 years after leaving, you shall not hire any employee
of the company.",Non-Compete,Employment,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"Company may terminate this agreement immediately at any time
without notice.",Termination,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
Either party may terminate this agreement at any time by providing at least 30 days prior written notice to the other party.,Termination,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Either party may terminate with 3 days notice.,Termination,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Company reserves the right to terminate at any time.
Vendor cannot terminate without company approval.",Termination,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
Either party may terminate this agreement for convenience upon 30 days written notice. Both parties retain mutual rights of termination.,Termination,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Upon termination for any reason, company shall not be liable
for any pending payments.",Termination,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Upon termination of this agreement, the Company shall pay all legally earned and outstanding dues to the Vendor within 7 days.",Termination,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Upon termination, company may immediately seize all work
product and equipment without notice.",Termination,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
This Agreement may be terminated by either party upon 30 days written notice to the other party.,Termination,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Company may terminate for convenience without providing
any reason.",Termination,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Company can terminate with 7 days notice. Vendor must give
90 days notice.",Termination,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"This agreement automatically terminates if either party
becomes insolvent.",Termination,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"Three minor breaches shall constitute grounds for immediate
termination.",Termination,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"Vendor shall indemnify Company for all losses, damages, costs
and expenses of any nature whatsoever without any limit.",Indemnity,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Vendor shall indemnify the Company for direct losses arising from breach of contract, capped at the total contract value.",Indemnity,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Vendor shall indemnify Company. Company shall have no
indemnity obligation to Vendor.",Indemnity,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Each party shall indemnify, defend, and hold harmless the other party from and against any direct third-party claims arising out of its negligence.",Indemnity,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Indemnity includes direct, indirect, consequential, punitive,
special and incidental damages.",Indemnity,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"The indemnity obligation shall exclude any indirect, consequential, special, punitive, or incidental damages.",Indemnity,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Vendor shall indemnify Company against any third party
intellectual property claims of any kind.",Indemnity,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Indemnity obligations shall survive termination of this
agreement indefinitely.",Indemnity,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Vendor shall indemnify Company against direct third-party claims, subject to a cap equal to the fees paid in the preceding 12 months.",Indemnity,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Vendor shall indemnify Company for all regulatory
compliance failures.",Indemnity,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
Indemnity includes all legal fees and defense costs.,Indemnity,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
Neither party limits its liability under this agreement.,Limitation of Liability,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Except for fraud or willful misconduct, either party's maximum aggregate liability shall be limited to the total fees paid under this contract.",Limitation of Liability,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Company shall not be liable for any loss or damage of
any kind arising from this agreement.",Limitation of Liability,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
The total liability of either party for all claims arising under this Agreement shall be limited to the total contract value.,Limitation of Liability,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Total liability of either party shall not exceed Rs. 10,000""
in a contract worth Rs. 50 lakhs.",Limitation of Liability,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Company shall not be liable even in cases of gross negligence,
willful misconduct or fraud.",Limitation of Liability,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Neither party's liability is limited in cases of gross negligence, willful misconduct, or fraud, but is otherwise capped at the contract value.",Limitation of Liability,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
All claims must be raised within 30 days of the incident.,Limitation of Liability,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
Each party's liability under this Agreement shall be limited to the total contract price.,Limitation of Liability,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Company is not liable for any data breach or loss of
client data.",Limitation of Liability,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
