clause_text,clause_type,domain
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
this Agreement as of the Effective Date.,Effective Date & Parties,Original Corporate
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
The Exclusivity Period shall commence on the Effective Date and expire on the third anniversary thereof.,Exclusivity,Business
"Neither this Agreement, nor any of the rights, interests, or obligations under this Agreement may be assigned or  delegated, in whole or in part, by operation of law or otherwise, by any party without the prior written consent of the other party,  and any such assignment without such prior written consent shall be null and void; provided, however, that this Agreement may be  assigned by a Party in connection with a Change in Control of such party, subject to the specific termination and other rights set  forth in the Strategic",Other Corporate,Original Corporate
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
"To the extent that either party owns Intellectual Property Rights to specific biomarkers, targets, kits, dyes or technology utilized in the Assay other than for the capture and detection of CTCs, it will, to the extent it is able, grant during the Term of the Agreement, a non-exclusive license to the other party to practice these Intellectual Property Rights for the Assay.",License Grant,Original Corporate
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
"WEBMD'S AGGREGATE LIABILITY FOR ALL DAMAGES, LOSSES AND CAUSES OF ACTION IN ANY WAY RELATED TO THIS AGREEMENT OR THE CONTENT, WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, EITHER JOINTLY OR SEVERALLY, SHALL NOT EXCEED FIFTY DOLLARS ($50).",Limitation of Liability,Original Corporate
The premises shall be occupied exclusively by the Tenant and their immediate family for housing purposes only.,Use of Premises,Rental
"This Agreement and all questions regarding its validity or interpretation, or the breach or performance of this Agreement, shall be governed by, and construed and enforced in accordance with, the laws of the State of New York, United States, without reference to conflict of law principles.",Governing Law,Original Corporate
(d) By either party hereto upon sixty (60) days prior written notice to the other party hereto;,Notice Period / Termination,Original Corporate
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
The Exclusivity Period shall commence on the Effective Date and expire on the first anniversary thereof.,Exclusivity,Business
"Each Party shall provide the other Party with prompt written notice of any cancellation, non-renewal or material change in such insurance that could materially adversely affect the rights of the other Party hereunder, and shall provide such notice within thirty (30) days after any such cancellation, non-renewal or material change.",Other Corporate,Original Corporate
"For a period of 12 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"Notwithstanding the above, Intuit may include editorial content or tools      about or from a Client Competitor and include Client Competitors in      directory listings.",Exclusivity,Original Corporate
All equipment supplied is covered by a manufacturer warranty of 12 months against manufacturing defects.,Warranty Duration,Service
The maximum aggregate liability of the Vendor shall not exceed the sum of INR 8 Lakhs.,Limitation of Liability,General
"The compensation of the Employee shall be Rs. 47,000 per month, payable in accordance with Company policy.",Salary/Compensation,Employment
The Exclusivity Period shall commence on the Effective Date and expire on the first anniversary thereof.,Exclusivity,Business
"If the arbitrator determines that any Outstanding Patent should be or should have been, as applicable, an Assigned Patent, Seller shall (and shall cause the other Seller Parties to) assign such Patent to the Purchaser Assignees in accordance with Section 2.1(b)(iii)(E).",Intellectual Property,Original Corporate
Surgical agrees that all Work Product shall be the sole and exclusive property of Imprimis.,Intellectual Property,Original Corporate
"reason other than termination pursuant to Section 16.a.v, the                parties shall continue to jointly own Payment-Eligible User Data                in accordance with Section 6.a.",Intellectual Property,Original Corporate
"owned by HSI related to the ERB that incorporate the mark/name HERTZ) as set forth on Schedule B, for the Interim Period, in the United States and Puerto Rico, as more fully set forth in the Trademark, Trade Name, Domain and Related Rights License Agreement attached as Exhibit A.",License Grant,Original Corporate
"The Lessee has paid a sum of INR 180,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.",Effective Date & Parties,Original Corporate
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
"At the request of ExxonMobil, FCE will permit, at reasonable intervals and during regular business hours, during the Term of this Agreement and at least three (3) years thereafter, but no more than once per fiscal year, an independent certified public accounting firm of nationally recognized standing selected by ExxonMobil (and approved by FCE, which approval will not be unreasonably withheld) to inspect, during regular business hours, such books, records, and accounts and any part of the applicable operations and facilities of FCE relevant to this Agreement, and to have access to FCE's knowledgeable personnel, as may be necessary to determine the completeness and accuracy of any accounting and payments required to be made under this Agreement and compliance with other terms of this Agreement, subject to the following:

(a) ExxonMobil and its employees or other representatives will have the right to reproduce for its internal records any of the documents kept by FCE in accordance with Paragraph 18.01 (Recordkeeping), such reproduced documents shall be subject to the confidentiality and use provisions contained in Article 4; and

(b) all expenses of each such audit, including any pre-approved reasonable expenses incurred by FCE for such audit, will be for the account of ExxonMobil.",Other Corporate,Original Corporate
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
The initial term of the ctDNA Platform Development Program will be twelve (12) months.,Notice Period / Termination,Original Corporate
"The Employer agrees to pay the Employee a CTC of Rs. 123,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
"EXCEPT (I) WITH RESPECT TO ANY BREACH OF ARTICLE 8 (CONFIDENTIALITY), (II) FOR THIRD PARTY PENALTIES, COSTS AND EXPENSES AS SET FORTH IN SECTION 2.9, OR (III) FOR [***], TO THE MAXIMUM EXTENT PERMITTED BY LAW, (A) NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES, WHETHER LIABILITY IS ASSERTED IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, OR ANY OTHER THEORY OR FORM OF ACTION, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY THEREOF; AND (B) EACH PARTY'S TOTAL LIABILITY TO THE OTHER PARTY UNDER THIS SUPPLY AGREEMENT SHALL NOT EXCEED [***].",Limitation of Liability,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
"Disputes shall be resolved by arbitration in accordance with the rules of the Indian Arbitration Act, with the venue of arbitration in Pune.",Arbitration & Dispute Resolution,General
"During the Term and for a [***], neither party will without the written consent of the other party (which may be granted or denied in its sole discretion) (a) directly or indirectly recruit or solicit for employment or for the provision of services any employee of the other party, (b) otherwise solicit, induce or influence any employee to leave their employment with the other party, or (c) attempt to do any of the foregoing; provided, however, that the foregoing will not apply to (y) any employee of the other party that responds to a public advertisement of employment opportunities or (z) any employee that was terminated without cause by the other party. ENERGOUS and DIALOG acknowledge and agree that the covenants in this Section 18 are reasonable and necessary to protect each of their trade secrets, Confidential Information and stable workforces.",Non-Compete,Original Corporate
"(e) not solicit or accept orders for the Products other than from       Customers within the Territory after the Agent Launch Date; and not       knowingly, or knowingly permit others to, distribute or resell Products       outside the Territory or for end use by other than duly licensed       veterinarians;",Non-Compete,Original Corporate
"""Company Licensed Know-How"" means all Know-How owned by any Company Entity as of the Effective Date and used or held for use in the Arizona Field as of the Effective Date.",License Grant,Original Corporate
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
"IN NO EVENT SHALL Erchonia BE LIABLE FOR ANY LOSS OF PROFIT OR ANY OTHER COMMERCIAL DAMAGE, INCLUDING BUT NOT LIMITED TO SPECIAL, INCIDENTAL, CONSEQUENTIAL OR OTHER INDIRECT DAMAGES UNDER ANY CAUSE OF ACTION ARISING OUT OF OR RELATING TO THIS AGREEMENT, INCLUDING, WITHOUT LIMITATION, CLAIMS ARISING FROM MALFUNCTION OR DEFECTS IN THE PRODUCTS.",Limitation of Liability,Original Corporate
The Exclusivity Period shall commence on the Effective Date and expire on the first anniversary thereof.,Exclusivity,Business
"The Tenant shall pay a refundable security deposit of INR 90,000 before taking possession of the premises.",Security Deposit,Rental
The Seller covenants that they have absolute clear title to the property and full legal right to convey the same.,Possession & Transfer,Property
"MediWound's rights as per Section 3.1 will be exclusive in the sense that CBC shall not nor shall permit any Affiliate or third party to manufacture, use, supply",Exclusivity,Original Corporate
The following products are eligible for return and reimbursement:   · Outdated Product: Product within two (2) months prior or six (6) months past expiration date and noted on product;   AND   · Product in its original container and bearing its original label.,Warranty Duration,Original Corporate
"For a period of 12 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"The Tenant shall pay a refundable security deposit of INR 134,000 before taking possession of the premises.",Security Deposit,Rental
"Upon JHU's request, Company will furnish JHU with a Certificate of Insurance of each product liability insurance policy obtained.",Other Corporate,Original Corporate
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
"Without prejudice to Section 7.5 of the Agreement, Janssen or its designee shall have the right to audit Company to verify Company's compliance with this Schedule and the Applicable Law, provided that Janssen provides Company with at least [***] ([***]) calendar days prior written notice. T",Other Corporate,Original Corporate
"Notwithstanding the aforesaid in Section 16.1. and any possible           implication to the contrary herein or as a result of the course of           conduct of the parties, Contractor shall be entitled, at its sole           discretion, to terminate this Agreement only during the Extended Term,           with or without cause, upon a prior written notice of termination to           NICE of not less than six (6) months.",Notice Period / Termination,Original Corporate
The Parties shall work cooperatively toward the appropriate patent or other legal protection of such jointly and equally owned Intellectual Property.,Intellectual Property,Original Corporate
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
"""AbbVie Know-How"" means all Information that is (a) Controlled by AbbVie or any of its Affiliates during the Term, (b) developed or acquired by AbbVie or any of its Affiliates during the Term as a result of performance under this Agreement, (c) not generally known and (d) necessary or reasonably useful for the Exploitation of the Licensed Compound or a Licensed Product, but excluding any Joint Know-How or Information published in any AbbVie Patents or Joint Patents.",License Grant,Original Corporate
The Supplier agrees to supply the Products exclusively to the Buyer within the territory of India during the term.,Exclusivity,Business
"The Tenant shall pay monthly rent of INR 48,000 to the Landlord on or before the 1st day of each calendar month.",Rent,Rental
"The Lessee has paid a sum of INR 42,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
This Agreement shall automatically renew for successive one-year terms unless one party gives the other party written notice of non-renewal at least six months prior to automatic renewal.,Notice Period / Termination,Original Corporate
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
"A security deposit of INR 176,000 shall be deposited with the Landlord to secure performance under this lease.",Security Deposit,Rental
"Each Party agrees that during the term of this Agreement and for a period of twelve (12) consecutive months thereafter they shall not, directly, solicit, engage, compensate, induce in any way or hire for employment or other representation, any officer, employee, consultant or other representative employed or retained by the other Party or assist any other person or entity to do any of the foregoing.",Non-Compete,Original Corporate
"The Tenant shall pay a refundable security deposit of INR 46,000 before taking possession of the premises.",Security Deposit,Rental
"The Employee shall receive a gross monthly salary of INR 147,000 subject to applicable tax deductions.",Salary/Compensation,Employment
____ day of ______________ 2013,Effective Date & Parties,Original Corporate
"If performance is delayed by a force majeure event for more than 60 days, either party may terminate the contract.",Force Majeure,General
The contract shall in all respects be governed by the laws of India.,Governing Law,General
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 6 months.,Limitation of Liability,General
"The term of this Agreement is twelve (12) months from the date hereof, and will be automatically renewed for one (1) additional twelve month period unless either party shall notify the other in writing of its intention not to renew. Such notice must be given ninety (90) days prior to expiration of the original term.",Notice Period / Termination,Original Corporate
"Unless earlier terminated as provided below, this IP Agreement shall extend until the last date of expiration of the SRAM  Intellectual Property rights licensed under this IP Agreement.",Notice Period / Termination,Original Corporate
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
"The Tenant shall pay a refundable security deposit of INR 188,000 before taking possession of the premises.",Security Deposit,Rental
The Employee shall not engage in any business competing with the Employer's activities during employment and for 12 months thereafter.,Non-Compete,Employment
Any notice required to be given under this deed shall be sent by Speed Post or courier to the registered office address.,Notices,General
"In the event of termination by either party in accordance with any of the provisions of this Agreement, neither party shall be liable to the other, because of such termination, for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of E.piphany or HSNS.",Limitation of Liability,Original Corporate
Either party may terminate this employment agreement by giving 90 days' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
"Dexcel's responsibility for Product supplied by it to Kitov failing to meet the Specifications shall be limited to the replacement of the Product or the refund of the Supply Price paid by Kitov for such order, as agreed by the parties, except as otherwise provided under this Agreement.",Limitation of Liability,Original Corporate
Either party may terminate this employment agreement by giving 30 days' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Ahmedabad, India.",Jurisdiction & Venue,General
The maximum aggregate liability of the Vendor shall not exceed the sum of INR 2 Lakhs.,Limitation of Liability,General
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
The Employee shall not engage in any business competing with the Employer's activities during employment and for 6 months thereafter.,Non-Compete,Employment
"During the probation period, either party may terminate employment by giving 15 days' notice.",Notice Period / Termination,Employment
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
"The Lessee agrees to pay a monthly rent of INR 53,000 net of all deductions to the Lessor.",Rent,Rental
"Supplier hereby grants to Bank of America a nonexclusive, fully paid, irrevocable, royalty-free, world-wide license to use, modify, copy, produce derivative works from, display, disclose to persons who have entered into a written agreement containing substantially the same confidentiality provisions as in this Agreement for the purpose of maintaining the Software for Bank of America, and otherwise to utilize the Software and the Source Code and other materials necessary to maintain and improve the Software for use by Bank of America, subject always to the limitations In this Agreement on reproduction and use of the Software.",License Grant,Original Corporate
"Party B and its affiliates will be the exclusive provider of real estate and home furnishing information, products and data in Party A's real estate and home furnishing channel.",Exclusivity,Original Corporate
"suggest to, induce or persuade any customer, client, vendor, supplier, employee, consultant or agent of the Company to terminate or diminish its relationship with the Company.",Non-Compete,Original Corporate
The premises shall be occupied exclusively by the Tenant and their immediate family for housing purposes only.,Use of Premises,Rental
"Following the Initial Term, Vericel may, without penalty or prejudice to any other rights or remedies Vericel may have, in its sole discretion terminate or reduce the scope of any individual activities contemplated by this Agreement or any Additional Service or with respect to any Product or terminate this Agreement as a whole with or without cause, upon [***] prior written notice of such termination or reduction (which such written notice may be provided during the Initial Term).",Notice Period / Termination,Original Corporate
"During the term of this Agreement, in addition to its other obligations set forth in this Agreement, VIP shall:   A. Maintain property insurance in an amount sufficient to replace or reconstruct the hardware, software, data and facilities necessary for VIP to operate the VIP System and otherwise provide the EDP Services set forth in this Agreement and, upon written request, shall provide BNL with evidence of the coverage, including all applicable limits and conditions, and, upon written request, shall provide BNL with evidence of all renewals, cancellations, expirations or modifications of the coverage;",Other Corporate,Original Corporate
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Kolkata.,Arbitration & Dispute Resolution,General
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
"The  indemnification obligations  described  in Section  11(a),  including  all  limitations  on such obligations, shall be the exclusive remedy of the XC Indemnified Parties for any Losses  resulting from or based upon any breach by AJR of any of its agreements, covenants or obligations  hereunder or the use of any of the Licensed  Materials in a manner that is not permitted hereby.",Limitation of Liability,Original Corporate
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
(g)   Upon an assignment of this Agreement by ISO without SERVICERS' prior written consent;,Other Corporate,Original Corporate
