clause_text,clause_type,risk_level,source,contrastive_group_id
"Licensor hereby grants to Licensee a non-exclusive, revocable, non-sublicensable license to use the Software solely for internal business testing.",License Grant,low,synthetic_contrastive,lg_g1
"Licensor hereby grants to Licensee a non-exclusive, irrevocable, sublicensable license to use the Software in its daily business operations.",License Grant,medium,synthetic_contrastive,lg_g1
"Licensor hereby grants to Licensee an exclusive, perpetual, irrevocable, sublicensable, worldwide license to modify, distribute, and exploit the Software.",License Grant,high,synthetic_contrastive,lg_g1
"Subject to the terms and conditions, Provider grants Client a limited, personal, non-exclusive license to access the platform.",License Grant,low,synthetic_contrastive,lg_g2
"Subject to the terms and conditions, Provider grants Client a non-exclusive, worldwide, transferable license to use and run the platform.",License Grant,medium,synthetic_contrastive,lg_g2
"Provider hereby grants Customer a sole, exclusive, perpetual, irrevocable, royalty-free license to use, copy, and modify the source code.",License Grant,high,synthetic_contrastive,lg_g2
"Each party's liability under this Agreement shall be limited to direct damages and shall not exceed USD 100,000.",Cap On Liability,low,synthetic_contrastive,cap_g1
Each party's aggregate liability under this Agreement shall be limited to the total fees paid by Client in the preceding 12 months.,Cap On Liability,medium,synthetic_contrastive,cap_g1
"Supplier's total aggregate liability under this Agreement for any and all claims shall be strictly capped at USD 1,000.",Cap On Liability,high,synthetic_contrastive,cap_g1
"Except for breach of confidentiality, neither party's liability shall exceed two times the annual subscription fee.",Cap On Liability,low,synthetic_contrastive,cap_g2
"Except for breach of confidentiality and IP indemnity, each party's liability is capped at the total contract value.",Cap On Liability,medium,synthetic_contrastive,cap_g2
Customer's right to recover damages under this Agreement is limited to a maximum refund of the last monthly service fee paid.,Cap On Liability,high,synthetic_contrastive,cap_g2
Licensee shall have the exclusive right to distribute the Product solely within the state of Oregon.,Exclusivity,low,synthetic_contrastive,ex_g1
Licensor agrees not to license the Product to any direct competitor of Licensee listed in Exhibit B during the term.,Exclusivity,medium,synthetic_contrastive,ex_g1
"Supplier shall not sell, license, or distribute the Product to any third party anywhere in the world during the term of this Agreement.",Exclusivity,high,synthetic_contrastive,ex_g1
"Provider agrees that for a period of six months, it will not offer the custom software to other local retail stores.",Exclusivity,low,synthetic_contrastive,ex_g2
Provider covenants that it shall not develop similar software for any of Customer's primary competitors.,Exclusivity,medium,synthetic_contrastive,ex_g2
Supplier covenants that it will work exclusively with Customer and will not enter into supply agreements with any other buyer.,Exclusivity,high,synthetic_contrastive,ex_g2
This Agreement shall become effective on the date on which it has been signed by both parties.,Effective Date,low,synthetic_contrastive,ed_g1
"The Effective Date of this Agreement shall be January 1, 2025, regardless of the date of actual signature.",Effective Date,medium,synthetic_contrastive,ed_g1
"This Agreement shall be retroactively effective from the date three years prior to the date of execution, applying to all past transactions.",Effective Date,high,synthetic_contrastive,ed_g1
The terms of this Agreement shall take effect upon the successful launch of the beta platform.,Effective Date,low,synthetic_contrastive,ed_g2
This Agreement shall be effective as of the date of the first commercial purchase order placed by Customer.,Effective Date,medium,synthetic_contrastive,ed_g2
"This Agreement shall retroactively take effect from January 1, 2020, and Customer assumes all liabilities from that date forward.",Effective Date,high,synthetic_contrastive,ed_g2
This Agreement shall expire automatically upon the successful completion of the services detailed in Exhibit A.,Expiration Date,low,synthetic_contrastive,exd_g1
This Agreement shall expire five (5) years from the Effective Date.,Expiration Date,medium,synthetic_contrastive,exd_g1
This Agreement shall remain in full force and effect indefinitely until terminated by either party under the conditions of Section 9.,Expiration Date,high,synthetic_contrastive,exd_g1
This Agreement shall expire upon the final delivery and acceptance of all milestone deliverables.,Expiration Date,low,synthetic_contrastive,exd_g2
"This Agreement shall expire exactly three (3) years from the execution date, unless renewed by mutual agreement.",Expiration Date,medium,synthetic_contrastive,exd_g2
"This Agreement shall not expire and shall remain in effect in perpetuity, binding all successors and assigns.",Expiration Date,high,synthetic_contrastive,exd_g2
"Developer hereby assigns to Client all right, title, and interest in and to the custom deliverables, excluding Developer's pre-existing IP.",Ip Ownership Assignment,low,synthetic_contrastive,ip_g1
"Developer hereby assigns all right, title, and interest in and to the custom software deliverables to the Client.",Ip Ownership Assignment,medium,synthetic_contrastive,ip_g1
"Developer hereby assigns to Client all right, title, and interest in and to all software, tools, and ideas conceived by Developer during the term.",Ip Ownership Assignment,high,synthetic_contrastive,ip_g1
Consultant assigns to Company all intellectual property rights in the written reports created specifically for Company under this project.,Ip Ownership Assignment,low,synthetic_contrastive,ip_g2
