clause_text,risk_level,domain,clause_type,is_synthetic
Either party may terminate this Agreement by giving the other party at least 60 days written notice.,low,Rental,Termination,True
"The Company appoints the Distributor as an  exclusive  distributor  of Products in the Market,  subject to the terms and conditions of this Agreement.",high,Original Corporate,Exclusivity,False
This Agreement shall expire automatically upon the successful completion of the services detailed in Exhibit A.,low,Original Corporate,Expiration Date,True
"This Agreement is for a term (the ""Term"") of 12 months from the Effective Date on June 1s t 2020 and expiring May 31st 2021.",low,Original Corporate,Expiration Date,False
"Notice of Merger or Acquisition. Until the date that this Agreement terminates or is terminated in accordance with Section 15 hereof, ENERGOUS agrees that, [***].",high,Original Corporate,Change Of Control,False
"HPS MEZZANINE PARTNERS II GP, L.P.",low,Original Corporate,Parties,False
"Without limiting the foregoing, and subject to Section 4.2, Otis and Carrier, on behalf of themselves and the other members of, respectively, the Otis Group and the Carrier Group, hereby irrevocably assign to UTC, and agree and promise to assign to UTC, (a) any and all rights, title and interest in and to the United Technologies Trademarks, including all goodwill appurtenant thereto held by them and the other members of the Otis Group and the Carrier Group, and (b) any and all registrations and applications for registration of Trademarks consisting of or containing any of the United Technologies Trademarks, anywhere in the world, to which Otis, Carrier or another member of the Otis Group or the Carrier Group holds a legal or equitable interest as of the Effective Time.",medium,Original Corporate,Ip Ownership Assignment,False
"The Parties will mutually agree, reasonably and in good faith, on the timeframe for such audit to be conducted. Any such audit will be conducted during the audited Party's regular business hours and in a manner that minimizes interference with the audited Party's normal business activities.",medium,Original Corporate,Audit Rights,False
"This Agreement shall not be assigned by either party hereto, without the prior written consent of the other party hereto.",high,Original Corporate,Anti-Assignment,False
"Subject to the terms and conditions of this Agreement, Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, an  exclusive, non-transferable (except as set forth in Section 10.7) and non-sublicensable (except as provided in Section 2.1(c)) license to use the  Licensed Domain Names in connection with the Business during the Term",high,Original Corporate,Exclusivity,False
This Agreement shall be interpreted in accordance with the                   laws of the State of Indiana.,low,Original Corporate,Governing Law,False
The party  or  parties  specified as the Principals on SCHEDULE 1                attached hereto,low,Original Corporate,Parties,False
"For avoidance of doubt, all audits under this Section shall be conducted solely by an independent public accountant as described in the foregoing sentence.",medium,Original Corporate,Audit Rights,False
"The Tenant shall pay a non-refundable security deposit of INR 100,000. The deposit shall be forfeited entirely if the Tenant terminates the agreement before the lock-in period.",high,Rental,Security Deposit,True
"APOLLO CAPITAL MANAGEMENT GP, LLC",low,Original Corporate,Parties,False
"Within one year following completion of all activities under the Research Plan (the ""Selection Deadline""), Anixa, in good faith consultation with OntoChem, will have the right to select up to two hundred (200) Hit Compounds (each, a ""Selected Hit Compound""), by providing OntoChem with written notice of such Selected Hit Compound(s) (the ""Selection Notice""), and each Selected Hit Compound, along with all Variants of such Selected Hit Compound referenced in the Selection Notice, is hereby designated as a ""Lead Scaffold"" under this Agreement.",medium,Original Corporate,Volume Restriction,False
"Provider hereby grants Customer a sole, exclusive, perpetual, irrevocable, royalty-free license to use, copy, and modify the source code.",high,Original Corporate,License Grant,True
"In the event that Excite has not delivered XXXXXXXXXXXXXXXX             clickthroughs to the Client Site by the end of twelve (12) months             after the Launch Date, the first year of the term of the Agreement             will be extended without additional sponsorship and advertising fees             for up to an additional four (4) months.",low,Original Corporate,Expiration Date,False
"Thereafter, this Agreement automatically renews for successive terms of one (1) year.",low,Original Corporate,Renewal Term,False
"The Landlord may terminate this agreement by giving 15 days notice, whereas the Tenant must give 90 days notice and pay a penalty.",medium,Rental,Termination,True
The Employee shall not engage in any competing business during the term of employment within a 5 km radius of the office.,low,Employment,Non-Compete,True
"and records available for inspection by Owner's auditors, and (ii) making such copies of books and records as may be reasonably requested by  such auditors. In no event shall Owner's audits unreasonably interfere with Operator's operations.",medium,Original Corporate,Audit Rights,False
Either party may terminate this Agreement by giving the other party at least 60 days written notice.,low,Rental,Termination,True
The Licensee may terminate this Agreement at any time by giving             written notice to the Owner and NCC.,high,Original Corporate,Termination For Convenience,False
"Green Cross hereby grants to MacroGenics a royalty-free, worldwide license during the Term, with the right to grant sublicenses, under the Green Cross Licensed Patents and Green Cross Know-how that is incorporated into any Product, and all other intellectual property Controlled by Green Cross that is specifically related to MGAH22 to the extent needed by MacroGenics to research, identify, develop, make, have made, use, sell, offer for sale and import Products, including, without limitation, as contemplated by Section 10.1(c) above, in all cases without any obligation to obtain Green Cross' prior consent.",low,Original Corporate,License Grant,False
"In consideration of the rights granted by Licensee to Fox and VGSL pursuant to this Agreement, Fox shall pay to Licensee, or such other party as Licensee may designate in writing, a royalty in the following amounts:

(i) Distribution in Japan. In the event that Fox distributes, licenses, or otherwise exploits the Wireless Products in Japan pursuant to Paragraph 2(c)(iii), or grants to any third party any rights to distribute the Wireless Products for the Wireless Platform to end users within Japan, or otherwise uses in Japan any elements of the Fox Intellectual Property (as defined in Paragraph 11(a) that are solely attributable to Licensee's development efforts pursuant to this Agreement, Fox agrees to pay Licensee a royalty in the amount of ***** percent (*****%) of Fox's gross receipts for any such activity, which shall be defined as all monies actually received by Fox for the Wireless Products or other such elements of the PSM, less any Deductions.",medium,Original Corporate,Revenue/Profit Sharing,False
"Subject to Ginkgo's obligation to satisfy the Minimum Cumulative Purchase Commitment for a Contract Year, with respect to the second [***] Contract Years), Ginkgo's Production Purchase Targets for the [***] Contract Years as set forth in Table 7.2.2 are [***], and the Parties expressly acknowledge and agree that [***].",medium,Original Corporate,Minimum Commitment,False
Owner shall engage an auditor for this purpose no later than 45 days after the  end of each fiscal year.,medium,Original Corporate,Audit Rights,False
"In addition, if         any such inspection reveals an underpayment of more than five percent         (5%) for the period under audit, Corio shall reimburse Commerce One for         the reasonable cost of the examination.",medium,Original Corporate,Audit Rights,False
"Termination of this          Agreement by Corio for non conformance of the Software to the          Documentation under this Section 3.1 shall, upon a refund of all          fees paid to Changepoint, be Corio's sole and exclusive remedy          against Changepoint for any nonconformance of the Software with the          Documentation.",high,Original Corporate,Cap On Liability,False
"TELKOM   agrees not to copy the Source Code, nor to disclose it to any third party except   Agents retained by TELKOM to assist in maintaining SOFTWARE, provided   that no such Agent is in the business of marketing or developing software   competitive to the SOFTWARE.",medium,Original Corporate,Source Code Escrow,False
"During the Term, VerticalNet will not, directly or indirectly, design, host, operate, maintain or otherwise participate in a co-branded career center or a co-branded equipment listing Site with a PaperExchange Competitor or license a VerticalNet Link for use or display on any PaperExchange Competitor's Site.",high,Original Corporate,Non-Compete,False
"______ day of ______________, 2015.",low,Original Corporate,Agreement Date,False
Late payments shall attract an additional default interest rate of 2% per month starting from the due date.,medium,Loan,Interest & Penalties,True
The  election by BKC not to exercise its right of first  refusal as to any offer shall not affect its right of first refusal as to any subsequent offer.,medium,Original Corporate,Rofr/Rofo/Rofn,False
"For the avoidance of doubt, subject to, and without limiting or amending the exclusivity restrictions and confidentiality obligations set forth in Section 6.1 and ARTICLE 17 of the Development and License Agreement, respectively, Antares or its Subcontractor may manufacture the VIBEX® QS device or other devices (other than the Device) for itself or other Persons.",high,Original Corporate,Competitive Restriction Exception,False
"If the arbitrator determines that any Outstanding Patent should be or should have been, as applicable, an Assigned Patent, Seller shall (and shall cause the other Seller Parties to) assign such Patent to the Purchaser Assignees in accordance with Section 2.1(b)(iii)(E).",medium,Original Corporate,Ip Ownership Assignment,False
"The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.",high,Original Corporate,Exclusivity,False
Customer's right to recover damages under this Agreement is limited to a maximum refund of the last monthly service fee paid.,high,Original Corporate,Cap On Liability,True
FORM OF TRADEMARK LICENSE AGREEMENT,low,Original Corporate,Document Name,False
"Orders for less than minimum or non-standard lot size quantities of any Product may, at NETGEAR's discretion, be rejected.",medium,Original Corporate,Minimum Commitment,False
"""we,"" ""us,"" ""our"" or ""Franchisor""",low,Original Corporate,Parties,False
may arise through the performance of its obligations under this Agreement.,medium,Original Corporate,Ip Ownership Assignment,False
"MA is authorized to resell Technology within the following territory according to the terms of the Agreement:

Worldwide",low,Original Corporate,License Grant,False
Late payments shall attract an additional default interest rate of 2% per month starting from the due date.,medium,Loan,Interest & Penalties,True
Cremer's liability arising from this Agreement is limited to intentional misconduct or gross negligence.,medium,Original Corporate,Cap On Liability,False
"Each Party shall obtain and maintain, for the Term (i) commercial general liability insurance with a single combined liability limit of at least $5,000,000 per occurrence, (ii) workers compensation/employer's liability insurance with a liability limit of at least $1,000,000 per occurrence or, if greater, the statutory minimum, and (iii) ""all risk"" property insurance on a replacement cost basis adequate to cover all assets and business interruption Losses that a Party may suffer in connection with or arising out of this Agreement, subject to policy limits, and in the case of the policies described in clause (i) above, naming the other Party as an additional insured thereunder.",medium,Original Corporate,Insurance,False
"each of which may be referred to in the singular as a ""Party"" or in the plural as the ""Parties.""",low,Original Corporate,Parties,False
"The Tenant shall pay a non-refundable security deposit of INR 100,000. The deposit shall be forfeited entirely if the Tenant terminates the agreement before the lock-in period.",high,Rental,Security Deposit,True
"who wish to make use of the additional service provided by element 5 (hereafter, ""Affiliate Management""",low,Original Corporate,Parties,False
